#F f1f2_Chantler.dat
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#C  This file has been created using extract_Chantler-NIST-FFAST.pl on Mon Jun 28 17:10:31 2021
#C  It is a part of X-ray Server, https://x-server.gmca.aps.anl.gov
#UD 
#UD The scattering values in this file have been obtained from:
#UD https://github.com/usnistgov/FFAST.jl/tree/master/data/mac[NN].csv
#UD and a WWW interface to these data is at:
#UD https://physics.nist.gov/PhysRefData/FFast/html/form.html
#UD 
#UD Reference
#UD   [1] C.T. Chantler, J. Phys. Chem. Ref. Data 29(4), 597-1048 (2000).
#UD   "Detailed Tabulation of Atomic Form Factors, Photoelectric Absorption
#UD   and Scattering Cross Section, and Mass Attenuation Coefficients in the
#UD   Vicinity of Absorption Edges in the Soft X-Ray (Z = 30-36, Z = 60-89,
#UD   E = 0.1 keV-10 keV), Addressing Convergence Issues of Earlier Work."
#UD   
#UD   [2] C.T. Chantler, J. Phys. Chem. Ref. Data 24, 71 (1995). 
#UD   "Theoretical Form Factor, Attenuation and Scattering Tabulation for 
#UD   Z=1-92 from E=1-10 eV to E=0.4-1.0 MeV."
#S 1  H
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  H, Z=1, (Energy (eV),f1,f2)
     90.41995   1.24579         0.13017      
     96.65893   0.918719        0.12155      
    103.32840   0.291953        0.11333      
    108.78000   1.10059         0.10728      
    110.45810   2.81138         0.10553      
    110.88900   4.79732         0.10509      
    111.55500   2.70425         4.0732       
    113.22000   0.867705        4.007        
    118.07970   0.743908        3.8249       
    126.22720   1.85031         3.5508       
    134.93680   2.50334         3.285        
    144.24750   2.95829         3.0279       
    154.20050   3.29619         2.7813       
    164.84040   3.55465         2.5461       
    176.21440   3.75464         2.3237       
    188.37320   3.9099          2.1149       
    201.37090   4.03003         1.9199       
    215.26550   4.12212         1.7389       
    230.11880   4.19162         1.5715       
    245.99700   4.24285         1.4173       
    262.97080   4.27928         1.2758       
    281.11580   4.30376         1.1464       
    300.51280   4.31861         1.0285       
    321.24820   4.32576         0.92117      
    343.41430   4.32684         0.82386      
    367.10990   4.32314         0.73579      
    392.44050   4.31578         0.65626      
    419.51890   4.30567         0.58459      
    448.46570   4.29356         0.52011      
    479.40980   4.28005         0.46212      
    512.48910   4.26557         0.41004      
    547.85080   4.2505          0.36339      
    585.65250   4.23517         0.32168      
    626.06250   4.21985         0.28447      
    669.26090   4.20476         0.25134      
    715.43990   4.19008         0.22187      
    764.80520   4.17592         0.19572      
    817.57680   4.1624          0.17254      
    873.98960   4.14957         0.15201      
    934.29480   4.13749         0.13385      
    998.76120   4.12618         0.11782      
   1067.67600   4.11586         0.10297      
   1141.34500   4.10588         0.089977     
